Company,Revenue EUR Mil,Earnings Per Share EUR,Dividends EUR,Shares Mil,Operating Cash Flow EUR Mil,Working Capital EUR Mil,Return on Equity perc,Return on Assets perc,Interest Coverage,Cap Ex as a perc of Sales,Total Stockholders' Equity,Days Sales Outstanding,Payables Period,Inventory Turnover,Fixed Assets Turnover,Current Ratio,Debt/Equity,R&D,Price
MLM,23.0,-0.02,0,437.0,-10.0,13.0,-36.33,-18.89,,8.51,57.17,52.32,200.46,11.49,1.96,1.98,,,0.473
MONC,1194.0,0.98,0.18,255.0,314.0,415.0,30.7,19.72,177.77,6.16,66.92,34.49,198.1,2.03,9.11,2.4,0.07,,30.9
MN,1268.0,0.12,0,261.0,88.0,33.0,10.09,2.2,4.62,1.15,24.16,86.07,127.8,6.93,46.59,1.06,0.72,,1.526
MTV,33.0,0.43,0,30.0,9.0,31.0,19.34,14.54,80.43,58.85,76.4,440.19,3699.27,,94.47,2.37,0.01,,4.315
MTF,,-0.01,0,107.0,,,-50.0,-26.07,,397.64,37.21,3684.31,130.19,,3.44,0.99,,,0.0714
MSU,,,0,10.0,,,43.14,4.78,12.04,2.87,14.36,948.99,2484.08,,331.99,1.08,,,0.93
MNL,47.0,0.43,0,5.0,-1.0,24.0,7.94,4.2,,10.01,51.35,84.05,109.04,2.14,3.28,2.82,0.43,,11.775
MON,157.0,-0.02,0,150.0,3.0,-70.0,-26.86,-1.81,0.72,0.25,6.49,75.9,334.4,10.26,1.6,0.41,2.14,,0.1955
MUV2,51439.0,15.53,8.6,149.0,2998.0,,8.5,0.86,11.15,,9.76,,,,6.47,,0.18,,219.0
MOL,153.0,0.66,0.23,39.0,34.0,60.0,35.32,14.55,282.85,2.05,42.58,102.43,155.45,121.1,10.89,1.89,0.32,,14.24
NDT,132.0,0.45,0.15,13.0,16.0,10.0,10.71,3.84,4.2,5.87,36.97,70.9,159.27,2.25,1.76,1.16,0.47,,3.76
NSP,4.0,0.01,0,7.0,,,2.28,0.8,,,35.31,255.1,141.63,114.85,56.4,0.91,0.44,,
NET,33.0,-2.55,0,7.0,-28.0,,15.9,1.28,7.29,,9.19,,,,2.0,,,,4.44
NFLX,,,0,451.0,,,27.46,5.38,3.92,1.35,20.17,,16.89,,42.82,1.49,1.98,7.74,295.5
NTW,29.0,-0.01,0,110.0,-1.0,-4.0,-37.88,-5.07,-13.35,4.3,11.02,146.21,163.38,75.42,6.41,0.8,0.59,,0.288021
NRST,10.0,-0.03,0,26.0,3.0,5.0,-8.76,-6.06,-19.64,32.1,66.66,137.15,41.5,14.5,19.15,3.42,0.09,,2.1
NWL,304.0,0.1,0,44.0,27.0,43.0,4.55,1.39,4.84,2.33,27.86,61.16,123.57,10.05,2.36,1.33,0.2,,
NEXI,1417.0,0.12,0,632.0,696.0,3473.0,2.57,1.23,4.15,5.8,45.98,771.49,25.9,,10.63,53.58,0.86,,
NOKIA,22563.0,-0.06,0.19,5588.0,360.0,4167.0,-2.16,-0.84,-0.28,2.98,38.77,94.93,113.36,4.86,12.39,1.3,0.18,20.48,4.65
NPI,18.0,0.07,0.05,22.0,11.0,12.0,7.08,4.47,,39.64,62.93,292.47,1250.44,11.77,197.25,2.71,,,1.82
NR,3.0,0.1,0,10.0,-2.0,14.0,3.07,1.34,1.43,0.37,44.47,125.92,601.06,,,4.69,1.18,,4.472
NVDA,,,0,625.0,,,49.26,33.76,68.17,5.12,70.28,41.89,44.45,3.83,9.76,7.94,0.21,20.28,157.720001
NVP,4.0,0.02,0,8.0,1.0,,42.28,2.95,4.22,34.0,6.97,169.19,646.81,,1.39,1.22,7.64,,
OS,2.0,,0,6.0,,,2.43,0.74,,,24.88,48.67,153.59,0.52,4.02,1.14,0.15,,
OJM,584.0,0.89,0,14.0,8.0,24.0,14.9,5.93,20.24,0.18,41.24,71.1,5.1,,265.65,1.22,0.15,,9.9
ORA,41096.0,0.59,0.65,2712.0,10174.0,-8357.0,5.36,1.73,3.51,18.42,33.05,45.03,125.78,22.45,1.56,0.71,0.86,,14.23
ORS,819.0,0.8,0,16.0,14.0,78.0,12.16,3.56,7.78,5.66,34.88,43.1,43.58,26.06,8.78,1.45,0.53,,7.56
OVS,1571.0,0.02,0.15,227.0,76.0,50.0,0.6,0.26,1.77,4.42,42.28,21.87,200.62,1.93,5.78,1.08,0.44,,2.792
PAN,396.0,0.25,0.07,45.0,23.0,113.0,6.61,2.63,18.84,8.67,39.7,73.21,125.1,1.75,3.23,1.82,0.59,,2.905
PTR,30.0,0.07,0,14.0,-2.0,7.0,31.37,8.89,,,24.27,54.43,58.96,9.33,59.24,2.12,1.1,,
PHN,38.0,0.62,0,10.0,6.0,17.0,46.83,23.02,112.01,2.47,57.17,90.91,64.7,17.17,35.05,2.74,0.16,,14.4
PHIA,18121.0,1.16,0.8,936.0,1780.0,1629.0,9.05,4.25,9.3,4.65,46.51,77.69,83.79,3.81,10.98,1.21,0.28,9.71,38.049999
PIA,1390.0,0.1,0.06,358.0,148.0,-79.0,9.28,2.33,3.17,8.3,24.73,22.4,145.23,4.8,5.15,0.87,1.12,,2.584
PRL,17.0,-0.05,0,54.0,-1.0,-2.0,,-8.91,0.33,6.37,8.59,62.78,208.97,3.45,1.69,0.81,4.76,,0.17715999999999998
PINF,80.0,0.02,0,54.0,7.0,35.0,2.94,1.15,2.05,3.32,46.7,70.55,318.42,62.94,1.9,1.93,0.41,,2.26
PVN,212.0,0.38,0,51.0,24.0,29.0,67.34,13.19,70.65,3.79,19.74,90.55,91.76,5.7,8.32,1.3,0.62,,8.3
PQ,98.0,0.1,0.04,50.0,8.0,35.0,12.25,5.09,22.62,1.73,40.71,103.5,116.99,3.22,8.2,1.83,0.27,,1.855
PIRC,5352.0,0.2,0,853.0,1138.0,-858.0,4.87,1.3,2.15,9.14,32.48,45.41,234.9,2.47,1.64,0.79,0.95,,7.204
PITE,16.0,0.19,0.15,18.0,4.0,4.0,10.93,7.16,6.73,60.19,61.21,91.21,18.26,63.88,11.49,1.64,0.31,,4.62
PLC,33.0,6.5,0,1.0,23.0,5.0,31.05,10.19,14.48,6.7,40.35,148.82,232.02,2.36,,1.22,0.06,,2.145
PSF,49.0,0.81,0,1.0,1.0,5.0,11.82,2.66,13.7,5.26,22.46,121.67,185.05,9.77,9.5,1.25,0.67,,6.2
POL,136.0,-0.02,0,126.0,4.0,-15.0,-10.23,-1.86,2.41,1.11,18.42,101.45,313.43,10.18,2.41,0.81,0.61,,0.209
POPR,26.0,-0.04,0,30.0,5.0,5.0,-5.17,-2.95,40.59,3.68,67.56,102.96,458.24,5.88,0.99,1.56,0.02,,0.614
PSA,6.0,,0,2.0,,1.0,0.65,0.28,1.45,12.83,53.91,15.44,19.07,,130.85,1.89,0.29,,2.98
PST,29486.0,1.07,0.42,1306.0,2597.0,-34241.0,17.87,0.68,21.41,1.82,3.88,26.11,19.48,199.39,14.94,0.47,0.7,,9.51
PWS,29.0,0.21,0,11.0,2.0,13.0,15.85,9.34,9.13,,58.91,63.92,104.4,2.84,37.48,2.55,0.02,,
PRI,450.0,1.77,0.3,10.0,32.0,63.0,12.97,3.78,4.22,2.88,28.83,82.02,106.74,3.21,12.68,1.25,0.67,2.8,34.75
PRM,14.0,-0.49,0,7.0,-10.0,,-187.67,-10.96,-0.82,10.61,6.83,270.26,108.68,1237.37,77.68,0.96,7.03,,2.3
PSM,4008.0,1.06,1.93,229.0,1459.0,574.0,24.91,3.8,5.47,30.71,12.42,46.9,77.5,63.43,15.07,1.4,4.28,,13.94
PRY,10158.0,0.24,0.42,245.0,462.0,1111.0,6.94,1.54,4.25,2.81,22.68,49.69,105.14,5.37,4.75,1.3,1.4,,18.67
RAD,58.0,0.13,0,9.0,,-3.0,4.87,1.46,2.05,,29.96,72.06,122.57,2.12,1.68,0.93,0.12,,
RWAY,216.0,0.21,0.15,272.0,71.0,37.0,33.3,15.99,58.92,7.53,52.39,117.3,275.25,57.71,1.1,1.38,0.17,,4.575
RAT,99.0,0.22,0.1,27.0,9.0,37.0,13.65,5.61,20.35,3.81,41.5,85.52,192.98,1.87,3.19,1.96,0.39,,2.79
RCS,895.0,0.14,0,517.0,97.0,-133.0,53.42,7.16,8.47,2.13,17.89,92.78,152.02,29.63,11.14,0.7,1.39,,1.14
REC,1352.0,1.49,0.88,209.0,372.0,209.0,31.39,14.81,19.53,6.25,44.53,66.11,141.52,2.05,13.09,1.43,0.67,8.11,37.0
RLT,12.0,0.1,0,9.0,1.0,2.0,59.19,16.45,,3.2,27.8,71.29,83.77,,87.93,1.81,0.46,,
RNO,57419.0,12.13,3.55,272.0,6285.0,2174.0,9.61,2.94,12.19,7.68,31.07,268.74,77.99,7.44,4.12,1.03,0.17,4.52,53.849998
REN,5.0,0.02,0,7.0,,1.0,83.58,12.19,,1.63,15.89,92.62,52.68,,1.8,1.28,1.96,,1.54
RM,577.0,0.04,0,378.0,34.0,36.0,9.0,3.59,28.04,3.57,41.13,43.76,86.65,5.32,2.96,1.24,0.26,,0.762
REY,1036.0,2.67,0.35,37.0,120.0,236.0,22.54,10.26,114.74,2.9,45.15,139.45,77.7,2.55,31.39,1.52,0.05,,57.650002
RST,40.0,-0.01,0,32.0,6.0,6.0,3.17,1.77,2.43,174.13,53.29,178.56,184.06,0.65,15.83,1.06,0.56,,3.185
LIT,65.0,0.07,0,163.0,31.0,34.0,8.07,4.56,13.91,49.39,53.27,145.17,442.11,,0.5,1.52,0.1,,1.616
RN,1.0,-0.01,0,1928.0,-29.0,624.0,-16.16,-2.6,-1.23,3.46,14.96,423.96,564.29,0.02,0.03,3.37,3.12,,0.0302
YRM,171.0,-1.54,0.3,3.0,-10.0,188.0,-3.21,-1.58,-7.76,2.59,49.33,170.88,115.89,1.85,2.1,3.32,0.07,,38.400002
ROS,31.0,0.07,0,12.0,1.0,2.0,32.98,3.74,12.41,4.67,11.47,112.66,108.99,6.12,9.35,1.11,1.1,,0.924
RWE,13388.0,0.54,1.0,615.0,6648.0,15669.0,3.86,0.45,1.11,7.84,12.81,100.44,128.48,6.01,0.72,1.34,0.16,,23.85
SSL,127.0,0.54,0,68.0,24.0,-23.0,95.82,16.27,,20.81,22.65,14.07,42.18,31.32,3.21,0.77,0.4,,1.236
SAB,150.0,1.32,0.48,11.0,23.0,45.0,13.21,8.16,64.81,9.63,61.99,97.4,101.26,2.18,2.06,1.98,0.16,,17.139999
SG,231.0,0.62,0.55,22.0,38.0,44.0,9.99,5.3,24.22,3.31,51.09,57.5,55.73,2.97,4.49,1.62,0.24,6.97,21.4
SGR,231.0,0.62,0.57,22.0,38.0,44.0,9.99,5.3,24.22,3.31,51.09,57.5,55.73,2.97,4.49,1.62,0.24,6.97,16.5
SFL,1047.0,-2.48,0,101.0,-31.0,184.0,-35.78,-18.72,-27.86,3.84,45.95,72.54,156.89,1.99,5.43,1.44,0.27,,2.5766299999999998
SAF,16940.0,10.9,0.83,418.0,2726.0,3775.0,56.88,15.13,45.88,7.6,32.31,116.16,140.8,2.05,5.07,1.25,0.37,,101.5
SPM,9161.0,-0.33,0,1013.0,459.0,2256.0,-6.96,-2.44,-0.04,2.86,36.32,92.06,121.14,3.61,1.87,1.5,0.64,,3.806
SPMR,9161.0,-0.33,0,1013.0,459.0,2256.0,-6.96,-2.44,-0.04,2.86,36.32,92.06,121.14,3.61,1.87,1.5,0.64,,40.0
SCF,,,0,40.0,,,25.39,9.42,15.22,,37.12,,229.63,2.11,7.51,1.51,0.24,,
SAL,5940.0,-0.24,0.05,493.0,,1321.0,-9.92,-1.18,0.39,2.88,11.05,130.9,290.4,1.02,8.04,1.23,1.71,,2.232
SALR,5940.0,-0.24,0.26,493.0,,1321.0,-9.92,-1.18,0.39,2.88,11.05,130.9,290.4,1.02,8.04,1.23,1.71,,6.15
SFER,1335.0,0.52,0.38,169.0,186.0,485.0,11.97,7.46,82.29,5.68,64.95,39.84,155.79,1.41,5.24,2.63,0.02,2.02,18.65
SANF,35677.0,3.43,3.03,1255.0,5547.0,7271.0,7.36,4.08,11.13,5.54,52.92,74.05,154.39,1.6,3.71,1.42,0.37,16.52,77.57
SAP,24708.0,3.42,1.4,1194.0,4303.0,6139.0,15.03,8.69,14.4,5.67,56.04,88.57,59.63,,7.58,1.59,0.37,14.67,110.379997
SRS,7558.0,0.26,0.1,935.0,280.0,430.0,24.14,7.96,27.9,2.54,33.96,19.68,55.42,9.64,7.62,1.28,0.24,,1.918
SU,25720.0,4.16,2.2,561.0,2872.0,3152.0,11.5,5.69,14.13,3.2,50.97,77.68,96.51,5.28,10.27,1.31,0.28,2.32,76.019997
SCK,8.0,0.02,0,11.0,,-2.0,7.49,1.15,2.76,12.61,15.3,114.75,194.03,3.5,0.93,0.72,1.62,,
SERI,63.0,-0.3,0,3.0,-28.0,4.0,-1.44,-0.58,3.98,138.38,44.71,82.52,181.52,0.87,1.8,1.06,0.02,,3.4605
SRI,252.0,0.43,0.15,32.0,67.0,-37.0,9.97,3.98,12.33,19.41,40.12,105.46,236.79,18.82,2.02,0.75,0.29,,4.6
SES,1351.0,1.73,0.56,15.0,50.0,253.0,13.56,3.59,17.97,1.11,25.81,87.02,79.7,20.07,25.74,1.59,0.6,,27.4
SGC,33.0,0.12,0,12.0,-3.0,3.0,53.24,10.02,148.14,0.26,21.33,64.18,55.69,,505.44,1.31,,,2.40425
SHE,40.0,0.3,0,11.0,5.0,6.0,46.78,8.94,29.11,,19.14,65.92,116.29,3.76,4.82,1.33,1.74,,
SICT,,,0,,,,,,,,,,,,,,,,13.732
SIE,83044.0,7.01,3.7,828.0,8425.0,16696.0,13.11,4.26,8.39,3.13,33.35,68.76,64.21,3.3,7.43,1.35,0.6,6.69,98.93
SIO,59.0,0.58,0,3.0,5.0,-16.0,24.16,3.93,4.56,8.68,16.25,18.36,120.61,7.02,3.23,0.43,0.51,,
SIT,324.0,-1.16,0,20.0,42.0,59.0,-22.06,-6.14,-0.16,5.47,27.84,58.73,142.15,4.61,6.78,1.53,1.14,,10.5
SITI,203.0,0.4,0,13.0,6.0,75.0,6.91,2.07,6.24,2.85,32.25,144.51,153.51,1.81,18.86,1.61,0.4,,7.3
SRG,2517.0,0.26,0.21,3482.0,1864.0,-1650.0,14.14,4.28,5.57,40.37,28.36,184.53,441.26,3.4,0.16,0.61,1.64,,3.681
SEIF,26.0,0.02,0,25.0,4.0,8.0,6.13,2.85,29.05,2.2,46.47,46.84,60.15,51.8,233.48,2.49,,,
GLE,33039.0,4.24,2.2,802.0,-1054.0,,5.65,0.26,,23.07,4.68,,,,1.41,,2.11,,25.74
YSFT,8.0,-0.07,0,2.0,1.0,,-4.61,-1.36,-0.12,6.36,35.54,144.66,301.08,4.13,3.59,1.02,0.42,,2.87
SO,1672.0,0.23,0,117.0,132.0,-3.0,14.7,2.41,3.43,5.98,17.44,34.93,73.83,8.33,6.21,0.99,1.52,,2.586
SOL,757.0,0.44,0.15,91.0,137.0,262.0,8.36,3.88,8.64,12.94,46.95,122.51,83.28,9.88,1.66,2.31,0.68,,10.6
SCM,8.0,-0.17,0,2.0,,3.0,-8.04,-5.89,-239.76,0.59,71.18,154.47,20.17,,73.79,4.46,0.15,,9.2
SOM,107.0,0.3,0,7.0,2.0,-11.0,16.48,1.45,,3.99,8.81,190.69,134.53,3.64,22.92,0.9,0.99,,17.520000500000002
SOS,,0.01,0,7.0,,,7.03,5.56,,804.61,79.08,182.78,88.96,,92.49,8.28,,,3.0
SPTV,,-0.06,0,9.0,,91.0,-0.61,-0.6,,,99.24,,528.52,,0.05,130.08,,,9.7
SBUX,,,0,1394.0,,,136.51,23.46,34.94,8.0,4.84,11.54,20.61,12.56,4.56,2.2,7.77,,65.199997
STM,,,0,911.0,,,21.88,12.53,26.72,13.59,58.87,45.81,58.94,4.01,2.93,2.76,0.28,14.47,16.110001
TIP,7.0,0.46,0.07,157.0,-50.0,,13.69,9.61,12.19,0.29,77.11,42.29,9.95,,48.97,1.0,0.21,,5.9
TAS,61.0,-0.02,0,77.0,2.0,9.0,-6.04,-2.3,-2.05,12.76,33.61,154.92,171.02,7.67,28.55,1.24,0.26,,1.798
EDGE,164.0,0.41,0,24.0,12.0,37.0,20.06,9.06,10.7,1.68,44.21,110.52,29.21,44.86,80.27,1.75,0.35,,4.6
TGYM,598.0,0.3,0.07,201.0,86.0,25.0,55.47,12.77,63.5,4.19,26.76,64.43,131.48,5.07,4.23,1.1,0.63,,9.6
TIT,19828.0,0.05,0,22167.0,5399.0,-2057.0,5.24,1.61,2.21,26.8,32.39,68.96,258.6,27.6,1.21,0.83,1.21,,0.6594
TITR,19828.0,0.05,0.03,22167.0,5399.0,-2057.0,5.24,1.61,2.21,26.8,32.39,68.96,258.6,27.6,1.21,0.83,1.21,,0.57
TEF,48693.0,0.57,0.4,5127.0,,-6309.0,16.8,2.56,3.07,17.63,17.09,61.23,302.37,9.98,1.44,0.79,2.4,,7.208
TLS,5.0,0.34,0,2.0,2.0,2.0,10.19,5.85,,,64.97,386.06,635.13,14.17,6.58,1.57,,,5.78
TEN,,,0,1181.0,,,4.78,3.84,16.79,10.45,80.3,74.84,64.76,1.87,0.86,2.6,,,14.2
TRN,2190.0,0.34,0.21,2013.0,1692.0,-353.0,18.76,4.18,13.17,41.32,22.52,225.77,2561.22,27.24,0.17,0.91,2.28,,4.749
TSLA,,,0,171.0,,,-21.31,-3.34,-0.52,10.81,17.03,12.45,60.71,6.48,1.07,0.83,2.25,6.8,247.5
TES,176.0,-0.13,0,102.0,27.0,16.0,-3.13,-0.61,0.56,12.9,18.62,92.82,164.37,1.19,3.76,1.11,0.93,,0.505
TKA,34777.0,-0.1,0.15,623.0,1184.0,2633.0,0.28,0.02,1.58,2.66,8.4,59.11,67.23,4.93,5.61,1.13,1.81,0.74,12.815
TNXT,181.0,0.43,0.09,47.0,32.0,23.0,14.82,5.53,25.12,3.58,36.32,115.34,72.31,74.43,23.61,1.22,0.55,,6.28
TIS,208.0,-0.01,0,3982.0,-12.0,-319.0,,0.28,-6.54,31.03,-42.62,74.57,405.25,797.75,1.7,0.17,,,0.0239
TTT,3.0,,0,135.0,-3.0,-1.0,,11.04,724.32,,9.67,3.99,14112.15,,7237.25,0.6,,,0.0844
TOD,983.0,2.15,1.7,33.0,148.0,436.0,6.53,4.45,61.22,3.65,68.59,41.9,88.18,1.98,4.7,2.58,0.14,,58.75
TYA,136.0,0.56,0.49,19.0,11.0,-22.0,9.36,4.33,25.13,12.8,45.5,58.73,90.91,,5.21,0.7,0.29,,14.9
TOT,,,0,2624.0,,,10.08,4.58,13.78,9.28,45.48,31.88,68.68,8.9,1.65,1.28,0.34,,47.810001
TPS,19.0,0.36,0,6.0,2.0,7.0,41.15,15.99,63.63,10.41,45.11,153.99,51.07,,24.65,2.0,,,4.27
TWL,29.0,3.06,1.86,1.0,2.0,-1.0,13.14,7.18,5.85,6.1,62.46,5.85,97.68,22.25,6.9,0.86,0.09,,97.410896
TFI,906.0,-263.5,0,2.0,-67.0,-269.0,-183.83,-29.67,-14.11,5.11,-0.12,142.19,189.87,1.62,2.6,0.75,,,30.200001
TB,65.0,0.04,0.07,29.0,7.0,-3.0,2.81,1.18,12.78,11.92,35.84,167.51,723.44,61.58,18.33,0.93,0.26,,1.995
TRIP,,,0,140.0,,,7.97,5.09,15.42,3.78,67.88,49.16,48.81,,6.26,2.33,0.06,,40.110001000000004
TXT,36.0,5.86,0.3,12.0,,96.0,102.19,75.84,,1.85,84.45,195.58,97.27,1.96,29.98,8.04,,,9.8
UBI,4186.0,0.34,0.11,1140.0,418.0,,4.12,0.31,,7.78,7.32,,,,2.38,,2.79,,2.533
U24,,,0,3.0,,,,,,,98.18,,,,,0.06,,,
UCG,20674.0,1.8,0.32,2229.0,-30960.0,,6.6,0.46,,7.63,6.72,,,,3.15,,1.45,,10.826
UNIR,1874.0,0.55,1.0,20.0,80.0,-157.0,13.51,1.61,2.47,1.99,10.42,7.28,90.18,5.18,27.63,0.73,0.58,,11.4
UNI,13848.0,0.56,0.18,714.0,2935.0,,7.63,0.48,7.96,0.95,6.6,,,,7.37,,0.84,,4.536
US,13268.0,0.33,0.14,2779.0,340.0,,16.0,1.35,13.54,1.24,8.26,,,,7.51,,0.47,,2.355
VLS,112.0,0.66,0.33,11.0,11.0,19.0,11.83,8.6,58.77,1.24,72.34,48.22,109.72,7.71,10.74,1.9,0.01,,15.0
VTY,59.0,0.37,0,7.0,14.0,10.0,17.01,4.74,20.1,5.66,37.24,175.49,116.13,3527.51,10.95,1.36,0.2,,7.3
VIA,33.0,0.06,0.05,30.0,-41.0,175.0,1.86,0.41,1.03,0.14,27.22,105.6,311.24,0.04,9.86,9.71,2.38,,1.275
VIM,49.0,0.12,0,13.0,5.0,2.0,21.5,6.39,11.45,7.67,24.08,96.35,112.99,4.52,4.17,1.1,0.89,,3.139
DG,44354.0,5.32,2.51,560.0,5141.0,-2426.0,16.13,4.11,8.73,4.69,25.67,80.11,160.59,16.76,9.07,0.92,1.02,,89.900002
VE,4.0,-1.07,0,,,-1.0,-88.36,-6.02,-2.08,20.93,9.24,31.47,214.4,,77.0,0.81,2.77,,4.49719
VIV,13932.0,0.1,0.45,1268.0,1187.0,1164.0,0.73,0.37,9.03,2.52,50.65,117.5,235.9,39.78,14.54,1.11,0.2,,24.92
VOW3,235849.0,23.57,3.96,501.0,7272.0,15568.0,10.47,2.69,11.1,8.04,25.58,107.25,44.93,4.41,2.41,1.09,0.86,,150.940002
VNA,2183.0,4.48,1.32,506.0,1133.0,-2397.0,12.96,5.22,11.04,,38.85,60.84,330.02,1.27,10.2,0.42,0.93,,45.060001
ZV,270.0,0.46,0.25,87.0,56.0,57.0,23.94,9.16,33.03,21.41,39.44,82.87,133.57,1.98,1.61,1.43,0.7,,8.23
ZUC,77.0,0.1,0,25.0,-5.0,-45.0,,3.76,82.98,1.02,-22.17,112.06,106.8,1.62,2.38,0.58,,,2.26
